Simon Forman;1500;Astrologer and quack doctor;mw133563.jpg
Dominique Baudier;1500;Professor of History and writer;mw127994.jpg
Margaret Tudor;1500;Queen of Scotland;mw04202.jpg
John White;1500;Minister of Eccles, Lancashire;mw129003.jpg
Richard White;1500;Antiquary and jurist;mw146311.jpg
Antoine de Bourbon, King of Navarre;1500;King of Navarre, father of Henry IV, King of France;mw40660.jpg
Sir Thomas Chaloner;1500;Diplomat;mw01173.jpg
Diane de Poitiers;1500;Mistress of Henri II of France;mw40596.jpg
Edward Stanley, 3rd Earl of Derby;1500;Magnate;mw126837.jpg
Henry Stanley, 4th Earl of Derby;1500;Statesman;mw261505.jpg
Alice Spencer, Countess of Derby;1500;Noblewoman;mw19978.jpg
Sir Thomas White;1500;Lord Mayor of London and founder of St John's College, Oxford;mw126034.jpg
Cuthbert Tunstall;1500;Master of the Rolls, successively Bishop of London and Durham;mw125060.jpg
Thomas Goodrich (or Goodricke);1500;Bishop of Ely and Lord Chancellor;mw125564.jpg
Edward Dering;1500;Puritan divine;mw214676.jpg
Pierre de Ronsard;1500;French poet;mw125483.jpg
Anne Turner (née Norton);1500;Hanged for the murder of Sir Thomas Overbury;mw133879.jpg
Father Archangel;1500;Capucin preacher;mw129136.jpg
John Chambre (Chamber, Chambers);1500;Physician and cleric;mw58137 (1).jpg
Sir John Hawkins;1500;Merchant and naval commander;mw279921.jpg
James Ley, 1st Earl of Marlborough;1500;Judge;mw04219.jpg
Henry Robinson;1500;Bishop of Carlisle;mw128859.jpg
Charles de Ligne, Count of Aremberg;1500;Delegate at the Somerset House Conference;mw00166 (2).jpg
George Talbot, 4th Earl of Shrewsbury;1500;Magnate;mw125003.jpg
Elizabeth Talbot (née Walden), Countess of Shrewsbury;1500;Second wife of 4th Earl of Shrewsbury;mw125003 (1).jpg
Gilbert Talbot, 7th Earl of Shrewsbury;1500;Lord High Steward of Ireland and Lord Lieutenant of Derbyshire, patron of the arts;mw126333.jpg
Juan Baptista de Segura;1500;Jesuit Missionary and priest;mw127086.jpg
Edward Fiennes de Clinton, 1st Earl of Lincoln;1500;Lord High Admiral;mw03913.jpg
Ludovico Ariosto;1500;Composer;mw68068.jpg
John Foxe;1500;Martyrologist;mw02314.jpg
Thomas Whythorne (Whithorne);1500;Dancing master, amateur composer, autobiographer;mw42305.jpg
Fernando Alvarez de Toledo, 3rd Duke of Alba;1500;Spanish General and governor of the Spanish Netherlands;mw126258.jpg
Jacobus Arminius (Jacob Hermans (Harmans));1500;Dutch Reformed theologian;mw16848.jpg
Charles V, Holy Roman Emperor;1500;King of Spain 1516-56, Holy Roman Emperor 1519-58;mw120667.jpg
Charles IX, King of France;1500;King of France 1560-1574;mw127811.jpg
Jean Louis de Nogaret de Valette, duc d'Epernon (Espernon);1500;French Admiral;mw57689.jpg
Sir Henry Sidney;1500;Soldier and statesman;mw05806.jpg
François I (Francis I), King of France;1500;King of France 1515-1547;mw120666.jpg
François, duc de Montmorency;1500;Son of Anne, first Duc de Montmorency;mw126809 (1).jpg
François II (Francis II), King of France;1500;King of France 1559-1560, Consort of Scots 1558-1560, first husband of Mary Queen of Scots;mw126400.jpg
Sir Philip Sidney;1500;Soldier, statesman and poet;mw05807.jpg
King Sigismund III;1500;King of Poland;mw79574.jpg
Sigismund Bathory, Prince of Transylvania;1500;Reigned 1581-99;mw124526.jpg
Charles Blount, Earl of Devonshire;1500;Soldier;mw00166 (3).jpg
Pope Pius V (Antonio Ghislieri);1500;Pope 1566-72;mw128915.jpg
Edmund Tyrrell;1500;of Saint Osithes;mw224922.jpg
Thomas Becon;1500;Protestant divine;mw57726.jpg
Richard Rogers;1500;Church of England clergyman and author;mw126894.jpg
Pierre de Bocosel de Chatelard or Chastelard;1500;Poet, romantic associate of Mary, Queen of Scots;mw64883.jpg
Richard Martin;1500;Recorder of London;mw35370.jpg
Sir Henry Bedingfield (Benifield);1500;Supporter of Queen Mary I;mw56475.jpg
Philip Howard, 13th Earl of Arundel;1500;Nobleman and Catholic martyr;mw126682.jpg
Anne Howard (née Dacre), Countess of Arundel;1500;Noblewoman and priest harbourer;mw134392.jpg
Thomas Arundell, 1st Baron Arundell of Wardour;1500;Soldier of fortune;mw35115.jpg
Muriel Littleton;1500;Daughter of Lord Chancellor Thomas Bromley, wife of John Lyttelton;mw134527.jpg
Cristoforo Roncalli;1500;Painter;mw133583.jpg
Roger Ascham;1500;Author and tutor to Elizabeth I (when Princess Elizabeth);mw127591.jpg
Sir John Cheke;1500;Greek scholar;mw01264.jpg
Frederick I, Duke of Württemberg;1500;Duke of Württemberg;mw127898.jpg
Queen Mary I;1500;Reigned 1553-58, daughter of Henry VIII and Katherine of Aragon;mw09583.jpg
Mary Tudor;1500;Daughter of Henry VII, sister of Henry VIII, consort of Louis XII, 3rd wife of Charles Brandon, 1st Duke of Suffolk;mw253464.jpg
Mary of Guise;1500;Queen of James V of Scotland;mw17085 (1).jpg
Mary, Queen of Scots;1500;Reigned 1542-67;mw04269.jpg
Margaret Roper;1500;Daughter of Sir Thomas More;mw01734 (1).jpg
Andrew Willet;1500;Controversial divine;mw129016.jpg
Reginald Pole;1500;Cardinal and Archbishop of Canterbury;mw05069.jpg
Sir Everard Digby;1500;Gunpowder plot conspirator;mw133844.jpg
William I, Prince of Orange;1500;Stadtholder of the United Provinces 1579-1584;mw71551.jpg
Phillip William, Prince of Orange;1500;Prince of Orange;mw129444 (2).jpg
Sir Gervase Helwys;1500;Lieutenant of the Tower;mw37450.jpg
Arthur Chichester, Baron Chichester;1500;Army officer and administrator;mw129312.jpg
Humphrey Llwyd;1500;Welsh antiquary;mw127568.jpg
Erasmus Williams;1500;Rector of Tingewick;mw129021.jpg
Robert Francis Romulus Bellarmine;1500;Theologian, writer and cardinal;mw67057.jpg
Sir Walter Aston;1500;Sheriff of Staffordshire and Justice of the Peace;mw84643.jpg
Henri III, King of France;1500;King of France 1574-1589, King of Poland and Grand Duke of Lithuania 1573-1575;mw126809 (2).jpg
King Henry VIII;1500;Reigned 1509-47;mw03081.jpg
Henry II, King of France;1500;King of France 1547-1559;mw125415.jpg
Henri IV, King of France;1500;King of France 1589-1610;mw127857.jpg
Anton Fugger;1500;German banker;mw68251.jpg
William Fulke;1500;Puritan divine;mw126815.jpg
Tobie (or Tobias) Matthew;1500;Archbishop of York;mw04310.jpg
Johannes Sleidanus (Johann Sleidan);1500;German historian;mw125428.jpg
John Graves;1500;Centenarian;mw129392.jpg
Sir John Doddridge (or Doderidge);1500;Judge;mw01885.jpg
William Aubrey;1500;Master in Chancery;mw127296.jpg
Maurice of Nassau, Prince of Orange;1500;Prince of Orange;mw129432.jpg
Hercule François, Duke of Anjou;1500;Youngest son of Henry II, King of France and Catherine de Medici;mw127907.jpg
Maximilian II, Holy Roman Emperor;1500;Holy Roman Emperor 1564-76;mw126785 (1).jpg
John of Austria;1500;Military leader and illegitimate son of King Charles I of Spain;mw128915 (1).jpg
George Heriot;1500;Jeweller to James I and founder of Heriot's Hospital, Edinburgh;mw66599.jpg
Christophe de Longueil;1500;Scholar;mw125443.jpg
Adam Lonicer (Lonitzer);1500;Botanist;mw196498.jpg
John Aylmer;1500;Bishop of London;mw126746.jpg
